Acedemics,Communication,Conflict_Management,Critical_Thinking,Decision_Making,Emotional_Intelligence,Leadership,Self_Confidence,Teamwork,Time_Management,Positive_Attitude,Belief_hv,Non_Violence_hv,Self_Discipline_hv,Kindness_hv,Integrity_hv,Health_And_Energy_hv,Gratitude_And_Appreciation_hv,Happiness,Friend_Friendship_hv,Peave_hv
1,4.00,2.67,4.33,4.33,5.00,3.33,4.33,4.67,5.00,4.33,3.27,3.17,3.20,3.93,3.60,3.87,3.73,3.60,2.67,4.33
0,4.33,5.00,3.00,4.00,3.33,3.67,4.33,4.00,2.00,4.00,3.08,3.11,2.75,4.17,3.42,3.92,3.75,3.75,3.53,3.73
1,4.67,4.33,4.33,4.33,3.33,4.33,4.33,4.00,2.33,4.00,2.56,3.00,2.44,4.00,3.22,3.78,3.67,3.67,3.54,3.73
0,2.67,3.67,2.67,2.00,3.00,2.33,4.00,3.67,2.67,4.00,2.33,3.00,2.33,3.83,2.83,3.50,3.50,3.33,3.56,3.73
0,2.67,2.33,3.00,2.00,2.67,2.33,3.33,3.00,2.67,2.00,2.00,2.00,2.67,3.33,3.00,4.00,3.00,2.33,3.59,3.75
1,2.67,3.67,3.33,4.00,2.33,3.00,2.33,3.67,3.00,5.00,3.70,3.65,3.51,3.98,3.68,3.86,3.79,3.89,3.70,3.77
1,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.69,3.63,3.48,3.91,3.69,3.83,3.78,3.89,3.67,3.77
1,3.67,4.67,4.33,3.67,4.00,4.00,3.67,4.67,5.00,4.00,3.67,3.60,3.45,3.90,3.67,3.82,3.76,3.88,3.66,3.76
1,3.67,3.67,3.33,4.00,2.00,2.67,2.67,4.00,4.00,3.00,3.58,3.58,3.46,3.85,3.65,3.88,3.75,3.88,3.66,3.76
1,3.00,3.67,3.67,3.67,4.67,4.00,4.00,5.00,3.67,4.00,3.60,3.48,3.49,3.87,3.62,3.84,3.73,3.89,3.68,3.76
1,4.33,4.00,4.00,4.33,4.67,4.67,4.67,5.00,4.67,4.67,3.60,3.51,3.52,3.81,3.60,3.86,3.74,3.93,3.68,3.76
1,2.33,2.33,2.67,2.67,1.33,1.33,1.67,4.33,4.33,3.00,3.49,3.56,3.49,3.82,3.49,3.82,3.72,3.92,3.65,3.76
1,4.33,4.00,4.00,4.33,4.67,3.00,4.67,3.33,5.00,4.67,3.64,3.58,3.36,3.81,3.53,3.97,3.78,3.97,3.69,3.76
1,3.67,2.67,3.00,3.00,3.00,3.67,2.33,3.67,3.00,3.33,3.52,3.53,3.21,3.79,3.52,3.97,3.82,3.91,3.65,3.76
0,3.67,4.00,3.33,3.33,3.00,3.33,3.67,3.67,3.33,5.00,3.50,3.37,3.13,3.77,3.50,4.03,3.80,3.97,3.69,3.76
0,3.00,2.67,3.00,4.33,3.33,2.00,4.33,3.00,2.00,4.33,3.48,3.38,3.11,3.67,3.48,4.11,3.67,3.85,3.62,3.76
0,3.00,3.00,2.00,1.33,3.00,2.67,4.00,3.00,4.00,4.00,3.54,3.24,3.13,3.83,3.54,4.00,3.67,3.92,3.58,3.77
0,2.00,3.00,2.00,1.67,3.00,2.00,3.33,3.00,3.33,4.00,3.38,3.28,3.14,3.76,3.48,3.95,3.62,3.86,3.58,3.75
0,2.33,3.33,3.00,2.67,3.00,2.67,4.33,3.00,3.00,4.33,3.33,3.13,3.11,3.83,3.56,3.94,3.67,3.72,3.60,3.78